2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 机器之心
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 机器之心 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI科技大本营
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 AI科技大本营 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 量子位
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 量子位 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 新智元
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 新智元 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI前线
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 AI前线 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 雷锋网
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 雷锋网 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:146 - 总共获取到 0 篇去重后的文章
2025-09-07 08:22:55.929 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:23:02.992 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 08:23:07.168 | INFO     | crawler.content_processor:_generate_image_prompts:167 - 生成了 3 个图片提示词
2025-09-07 08:23:09.088 | INFO     | crawler.content_processor:_generate_summary:104 - 早报摘要生成成功
2025-09-07 08:23:12.424 | INFO     | crawler.content_processor:_analyze_trends:133 - 分析出 13 个发展趋势
2025-09-07 08:23:12.572 | INFO     | crawler.main:cleanup:266 - 爬虫引擎已关闭
